what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.codegen.ecore,2.7.0.v20120130-0943,"org.eclipse.emf.codegen.ecore",1341040823546
started,bundle,org.eclipse.uml2.codegen.ecore,1.7.1.v201109082252,"org.eclipse.uml2.codegen.ecore",1341040823546
started,bundle,org.eclipse.ocl.ecore,3.1.2.v20111015-2027,"org.eclipse.ocl.ecore",1341040823625
started,bundle,org.eclipse.ocl,3.1.0.v20120206-0606,"org.eclipse.ocl",1341040823656
started,bundle,org.eclipse.m2e.model.edit,1.0.100.20110804-1717,"org.eclipse.m2e.model.edit",1341040823750
started,bundle,org.eclipse.ocl.uml,3.1.0.v20120206-0606,"org.eclipse.ocl.uml",1341040823812
started,bundle,com.yattasolutions.diagrams.classdiagram,1.4.2.201202241146,"com.yattasolutions.diagrams.classdiagram",1341040823921
started,bundle,org.eclipse.emf.compare.match,1.2.2.yatta-patch-201202240323,"org.eclipse.emf.compare.match",1341040823984
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1341040824000
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1341040824046
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1341040824062
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1341040824062
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1341040824765
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1341040824765
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1341040824796
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1341040824796
started,bundle,org.eclipse.xsd,2.7.0.v20110606-0949,"org.eclipse.xsd",1341040824859
started,bundle,org.eclipse.emf.compare.diff,1.2.2.yatta-patch-201202240323,"org.eclipse.emf.compare.diff",1341040824953
started,bundle,com.yattasolutions.codegen.java,1.4.2.201202241146,"com.yattasolutions.codegen.java",1341040829500
started,bundle,com.yattasolutions.codegen.java.JDTDisassembled,1.4.2.201202241146,"com.yattasolutions.codegen.java.JDTDisassembled",1341040829500
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1341040849750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341040861203
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1341040873718
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1341040873796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341040874531
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341040874812
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341040874875
closed,editor,com.yattasolutions.umllab.intro,1.4.2.201202241146,"com.yattasolutions.umllab.intro.IntroEditor",1341040876734
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1341040881140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341040888531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341040888656
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341040891953
started,bundle,org.eclipse.wb.swing,1.1.0.r37x201109091143,"org.eclipse.wb.swing",1341040895187
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1341040895468
started,bundle,org.eclipse.wb.swing.databinding,1.1.0.r37x201109091143,"org.eclipse.wb.swing.databinding",1341040895515
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341040895984
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1341040896328
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1341040896453
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341040896468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341040898234
started,bundle,org.eclipse.wb.runtime.lib,1.3.0.r37x201202052311,"org.eclipse.wb.runtime.lib",1341040900453
started,bundle,org.eclipse.wb.swing.FormLayout,1.1.0.r37x201109091143,"org.eclipse.wb.swing.FormLayout",1341040900609
started,bundle,org.eclipse.wb.swing.jsr296,1.1.0.r37x201109091143,"org.eclipse.wb.swing.jsr296",1341040902734
started,bundle,org.eclipse.wb.core.databinding,1.3.0.r37x201202052311,"org.eclipse.wb.core.databinding",1341040902750
started,bundle,org.eclipse.wb.swing.MigLayout.lib,1.1.0.r37x201109091143,"org.eclipse.wb.swing.MigLayout.lib",1341040903984
started,bundle,org.eclipse.wb.swing.MigLayout,1.1.0.r37x201109091143,"org.eclipse.wb.swing.MigLayout",1341040904000
started,bundle,org.eclipse.wb.swing.java6,1.1.0.r37x201109091143,"org.eclipse.wb.swing.java6",1341040904000
started,bundle,org.eclipse.wb.layout.group,1.1.0.r37x201109091112,"org.eclipse.wb.layout.group",1341040904000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341040909656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1341040913546
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1341040934031
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1341040934031
started,bundle,org.eclipse.wb.swing.FormLayout.lib,1.1.0.r37x201109091143,"org.eclipse.wb.swing.FormLayout.lib",1341040937000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1341040967671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1341040995937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1341040996406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041097281
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1341041184546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041191609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041193093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041194171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041218859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041230234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1341041526609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1341041541125
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1341041542125
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1341041546046
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1341041547843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041783906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041792765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041806687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041813718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041825546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041841843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1341041898906
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341041904531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041909593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041921015
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341041921171
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341041921234
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341041927187
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341041928859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041936562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041936640
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341041942484
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341041946156
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341041946218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1341041947812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041951390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341041954984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1341042034234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1341042126656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1341042127796
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341042216703
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341042217593
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341042217671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341042219734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341042229156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1341042238281
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1341042239250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1341042241000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1341042261968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341042322437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341042328375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341042336265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341042342875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1341042407812
